Ses04M_script03_2_F000 :act 2; :val 4; :dom 4; (repressed anger)
Ses04M_script03_2_M029 :act 2; :val 4; :dom 4; (immature, accusing)
Ses04M_script03_2_M030 :act 2; :val 4; :dom 4; (self-righteous)
Ses04M_script03_2_M031 :act 1; :val 4; :dom 5; (angry)
Ses04M_script03_2_M032 :act 4; :val 4; :dom 3; (prepared to be upset by answer)
Ses04M_script03_2_M033 :act 3; :val 4; :dom 4; (bitter)
Ses04M_script03_2_M034 :act 3; :val 4; :dom 4; (needling her)
Ses04M_script03_2_M035 :act 3; :val 4; :dom 4; (trying to provoke her)
Ses04M_script03_2_M036 :act 2; :val 4; :dom 4; (defensive)
Ses04M_script03_2_M037 :act 2; :val 4; :dom 4; (defensive, attitude)
Ses04M_script03_2_M038 :act 3; :val 4; :dom 4; (trivializing her clinical approach, sarcastic)
Ses04M_script03_2_M039 :act 3; :val 4; :dom 4; (trying to provoke her again, sarcastic, antagonistic)
Ses04M_script03_2_M040 :act 2; :val 4; :dom 4; (angry)
Ses04M_script03_2_M041 :act 2; :val 4; :dom 4; (annoying her)
Ses04M_script03_2_M042 :act 3; :val 4; :dom 4; (patronizing)
Ses04M_script03_2_M043 :act 3; :val 4; :dom 4; (attitude, caustic)
Ses04M_script03_2_M044 :act 4; :val 4; :dom 4; (patronising again)
Ses04M_script03_2_M045 :act 3; :val 4; :dom 4; (antagonizing)
Ses04M_script03_2_M046 :act 2; :val 5; :dom 4; (very angry, irritated)
Ses04M_script03_2_M047 :act 1; :val 4; :dom 5; (domineering)
Ses04M_script03_2_M048 :act 2; :val 4; :dom 3; (perhaps trying to make amends?)
Ses04M_script03_2_M049 :act 3; :val 5; :dom 4; (insulting, provoking)
Ses04M_script03_2_M050 :act 1; :val 5; :dom 5; (wrath)
Ses04M_script03_2_M051 :act 2; :val 5; :dom 5; (controlling)
Ses04M_script03_2_M052 :act 1; :val 4; :dom 5; (controlling)
Ses04M_script03_2_M053 :act 2; :val 5; :dom 5; (angry, defensive, controlling)
Ses04M_script03_2_M054 :act 2; :val 5; :dom 5; (angry, trying to hurt her)
Ses04M_script03_2_M055 :act 2; :val 5; :dom 5; ()
Ses04M_script03_2_M056 :act 1; :val 5; :dom 5; ()
