Ses02F_script03_2_F000 :act 2; :val 2; :dom 4; (irritated but amused)
Ses02F_script03_2_M025 :act 4; :val 5; :dom 4; (accusing, snide)
Ses02F_script03_2_M026 :act 3; :val 4; :dom 4; (antagonizing, provoking)
Ses02F_script03_2_M027 :act 2; :val 4; :dom 4; (defensive, annoyed)
Ses02F_script03_2_M028 :act 2; :val 4; :dom 4; (defensive, incredulous, annoyed)
Ses02F_script03_2_M029 :act 2; :val 4; :dom 4; (sarcastic, antagonizing,)
Ses02F_script03_2_M030 :act 2; :val 4; :dom 4; (sarcastic, annoyed, provoking)
Ses02F_script03_2_M031 :act 3; :val 4; :dom 4; (purposely annoying her)
Ses02F_script03_2_M032 :act 4; :val 4; :dom 4; (being difficult on purpose, acting reasonable)
Ses02F_script03_2_M033 :act 3; :val 5; :dom 4; (self-righteous, frustrated, condescending)
Ses02F_script03_2_M034 :act 2; :val 4; :dom 4; (sarcastic)
Ses02F_script03_2_M035 :act 2; :val 4; :dom 4; (antagonizing)
Ses02F_script03_2_M036 :act 2; :val 4; :dom 4; (stubborn, childish)
Ses02F_script03_2_M037 :act 4; :val 5; :dom 4; (becoming enraged)
Ses02F_script03_2_M038 :act 3; :val 5; :dom 5; (domineering)
Ses02F_script03_2_M039 :act 4; :val 5; :dom 4; (patronizing, irritated)
Ses02F_script03_2_M040 :act 4; :val 5; :dom 4; (patronizing, antagonizing)
Ses02F_script03_2_M041 :act 1; :val 5; :dom 5; (temper peaks)
Ses02F_script03_2_M042 :act 2; :val 5; :dom 4; (skeptical, disbelieving)
Ses02F_script03_2_M043 :act 2; :val 5; :dom 5; (domineering)
Ses02F_script03_2_M044 :act 1; :val 5; :dom 5; (in denial, violent)
Ses02F_script03_2_M045 :act 1; :val 5; :dom 5; (insulting, antagonizing, enraged)
Ses02F_script03_2_M046 :act 1; :val 5; :dom 5; (etc.)
Ses02F_script03_2_M047 :act 1; :val 5; :dom 5; (enraged)
